"start_datetime";"session_user";"controller";"countRequestsGET";"countRequestsPOST";"countRequestsPUT";"countRequestsDELETE";"avgBytesSELECT";"avgBytesDELETE";"avgBytesUPDATE";"avgBytesINSERT";"avgOtherSQL";"Malicious"
"19-07-2023 00:00:05";"23FF990826E41F1A9CA601FFAC02ED5F";"4";"0";"1";"0";"0";"151";"0";"0";"0";"0";"0"
"19-07-2023 00:00:05";"23FF990826E41F1A9CA601FFAC02ED5F";"5";"0";"1";"0";"0";"544";"0";"0";"0";"0";"0"
"18-07-2023 00:00:08";"089F88517E97B655CBD212BF5911FBEF";"10";"0";"1";"0";"0";"361";"0";"0";"0";"0";"0"
"18-07-2023 00:00:00";"A49D9890C2127A5F38E871751BA81910";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:00:08";"A49D9890C2127A5F38E871751BA81910";"10";"1";"0";"0";"0";"361";"0";"0";"0";"0";"0"
"17-07-2023 22:45:37";"54ADA8D6C2962FECBB81A7F0528D2C7A";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17-07-2023 22:45:34";"54ADA8D6C2962FECBB81A7F0528D2C7A";"10";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"19-07-2023 00:00:22";"23FF990826E41F1A9CA601FFAC02ED5F";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:00:24";"089F88517E97B655CBD212BF5911FBEF";"10";"0";"1";"0";"0";"409";"0";"0";"0";"0";"0"
"18-07-2023 00:00:29";"A49D9890C2127A5F38E871751BA81910";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:00:24";"A49D9890C2127A5F38E871751BA81910";"10";"2";"1";"0";"0";"409";"0";"0";"0";"0";"0"
"19-07-2023 00:00:22";"BA1C532A6157450464049072EBE33CD1";"5";"0";"1";"0";"0";"1160";"0";"0";"0";"0";"0"
"17-07-2023 22:45:57";"54ADA8D6C2962FECBB81A7F0528D2C7A";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17-07-2023 22:46:09";"54ADA8D6C2962FECBB81A7F0528D2C7A";"10";"1";"0";"0";"0";"114";"0";"0";"0";"0";"0"
"17-07-2023 22:46:10";"54ADA8D6C2962FECBB81A7F0528D2C7A";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"19-07-2023 00:01:00";"23FF990826E41F1A9CA601FFAC02ED5F";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:01:05";"A49D9890C2127A5F38E871751BA81910";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:01:03";"A49D9890C2127A5F38E871751BA81910";"10";"1";"1";"0";"0";"0";"0";"0";"42";"0";"0"
"19-07-2023 00:01:00";"BA1C532A6157450464049072EBE33CD1";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17-07-2023 22:46:22";"54ADA8D6C2962FECBB81A7F0528D2C7A";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17-07-2023 22:46:35";"54ADA8D6C2962FECBB81A7F0528D2C7A";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:01:27";"505F079DE52544D6B2FC6E1AE22B9BFA";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:01:26";"089F88517E97B655CBD212BF5911FBEF";"1";"0";"1";"0";"0";"552";"0";"0";"0";"0";"0"
"18-07-2023 00:01:25";"089F88517E97B655CBD212BF5911FBEF";"10";"0";"1";"0";"0";"405";"0";"0";"0";"0";"0"
"18-07-2023 00:01:25";"A49D9890C2127A5F38E871751BA81910";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:01:26";"876C191A95D18847395DF1073AD15E63";"1";"1";"0";"0";"0";"552";"0";"0";"0";"0";"0"
"19-07-2023 00:01:20";"BA1C532A6157450464049072EBE33CD1";"5";"0";"1";"0";"0";"1006";"0";"0";"0";"0";"0"
"17-07-2023 22:46:56";"54ADA8D6C2962FECBB81A7F0528D2C7A";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18-07-2023 00:01:44";"505F079DE52544D6B2FC6E1AE22B9BFA";"3";"1";"0";"0";"0";"361";"0";"0";"0";"0";"0"
"18-07-2023 00:01:44";"089F88517E97B655CBD212BF5911FBEF";"3";"0";"1";"0";"0";"361";"0";"0";"0";"0";"0"
"17-07-2023 22:47:09";"54ADA8D6C2962FECBB81A7F0528D2C7A";"2";"1";"0";"0";"0";"361";"0";"0";"0";"0";"0"
"17-07-2023 22:47:09";"2B7DA461558F07B8A7DEC093EC17B360";"2";"1";"0";"0";"0";"361";"0";"0";"0";"0";"0"
"18-07-2023 00:01:53";"505F079DE52544D6B2FC6E1AE22B9BFA";"3";"1";"0";"0";"0";"81";"0";"0";"0";"0";"0"
"19-07-2023 00:02:05";"23FF990826E41F1A9CA601FFAC02ED5F";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
