countRequestsGET,countRequestsPOST,avgBytesSELECT,avgBytesDELETE,avgBytesUPDATE,avgBytesINSERT,avgOtherSQL,controller_1,controller_2,controller_3,controller_4,controller_5,controller_6,controller_7,controller_8,controller_9,controller_10,controller_11,Malicious
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,81,0,0,0,596,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,298,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,1,0,0
1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,215,60,0,0,1192,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,317,0,1,0,0,0,0,0,0,0,0,0,0
0,1,173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,677,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,788,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,848,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,783,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,734,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,408,0,0,143,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,215,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,331,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,89,0,0,0,596,0,0,0,0,0,0,0,0,0,1,0,0
2,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,89,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,349,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,558,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,295,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,215,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,295,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,310,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
